name,free-places,date
frauenhaus greifswald,0,2020-11-19
frauen- und kinderschutzhaus neubrandenburg,1,2020-11-19
frauenschutzhaus güstrow,1,2020-11-19
frauenhaus wismar,1,2020-11-19
awo frauenhaus schwerin,1,2020-11-19
frauenhaus ludwigslust,1,2020-11-19
schutzwohnung rügen,0,2020-11-19
autonomes frauenhaus rostock,0,2020-11-20
frauenschutzhaus stralsund,0,2020-11-20
frauenschutzhaus ribnitz-damgarten,0,2020-11-20
frauenhaus greifswald,0,2020-11-20
frauen- und kinderschutzhaus neubrandenburg,1,2020-11-20
frauenschutzhaus güstrow,1,2020-11-20
frauenhaus wismar,0,2020-11-20
awo frauenhaus schwerin,1,2020-11-20
frauenhaus ludwigslust,1,2020-11-20
schutzwohnung rügen,0,2020-11-20
autonomes frauenhaus rostock,0,2020-11-21
frauenschutzhaus stralsund,0,2020-11-21
frauenschutzhaus ribnitz-damgarten,0,2020-11-21
frauenhaus greifswald,0,2020-11-21
frauen- und kinderschutzhaus neubrandenburg,1,2020-11-21
frauenschutzhaus güstrow,1,2020-11-21
frauenhaus wismar,0,2020-11-21
awo frauenhaus schwerin,1,2020-11-21
frauenhaus ludwigslust,1,2020-11-21
schutzwohnung rügen,0,2020-11-21
autonomes frauenhaus rostock,0,2020-11-22
frauenschutzhaus stralsund,0,2020-11-22
frauenschutzhaus ribnitz-damgarten,0,2020-11-22
frauenhaus greifswald,0,2020-11-22
frauen- und kinderschutzhaus neubrandenburg,1,2020-11-22
frauenschutzhaus güstrow,1,2020-11-22
frauenhaus wismar,0,2020-11-22
awo frauenhaus schwerin,1,2020-11-22
frauenhaus ludwigslust,1,2020-11-22
schutzwohnung rügen,0,2020-11-22
autonomes frauenhaus rostock,0,2020-11-23
frauenschutzhaus stralsund,0,2020-11-23
frauenschutzhaus ribnitz-damgarten,0,2020-11-23
frauenhaus greifswald,0,2020-11-23
frauen- und kinderschutzhaus neubrandenburg,1,2020-11-23
frauenschutzhaus güstrow,1,2020-11-23
frauenhaus wismar,0,2020-11-23
awo frauenhaus schwerin,1,2020-11-23
frauenhaus ludwigslust,1,2020-11-23
schutzwohnung rügen,0,2020-11-23
autonomes frauenhaus rostock,1,2020-11-24
frauenschutzhaus stralsund,0,2020-11-24
frauenschutzhaus ribnitz-damgarten,0,2020-11-24
frauenhaus greifswald,0,2020-11-24
frauen- und kinderschutzhaus neubrandenburg,1,2020-11-24
frauenschutzhaus güstrow,1,2020-11-24
frauenhaus wismar,0,2020-11-24
awo frauenhaus schwerin,1,2020-11-24
frauenhaus ludwigslust,1,2020-11-24
schutzwohnung rügen,0,2020-11-24
autonomes frauenhaus rostock,1,2020-11-25
frauenschutzhaus stralsund,0,2020-11-25
frauenschutzhaus ribnitz-damgarten,0,2020-11-25
frauenhaus greifswald,0,2020-11-25
frauen- und kinderschutzhaus neubrandenburg,1,2020-11-25
frauenschutzhaus güstrow,1,2020-11-25
frauenhaus wismar,0,2020-11-25
awo frauenhaus schwerin,1,2020-11-25
frauenhaus ludwigslust,1,2020-11-25
schutzwohnung rügen,0,2020-11-25
autonomes frauenhaus rostock,1,2020-11-26
frauenschutzhaus stralsund,0,2020-11-26
frauenschutzhaus ribnitz-damgarten,0,2020-11-26
frauenhaus greifswald,0,2020-11-26
frauen- und kinderschutzhaus neubrandenburg,1,2020-11-26
frauenschutzhaus güstrow,1,2020-11-26
frauenhaus wismar,0,2020-11-26
awo frauenhaus schwerin,1,2020-11-26
frauenhaus ludwigslust,0,2020-11-26
schutzwohnung rügen,0,2020-11-26
autonomes frauenhaus rostock,0,2020-11-27
frauenschutzhaus stralsund,0,2020-11-27
frauenschutzhaus ribnitz-damgarten,0,2020-11-27
frauenhaus greifswald,0,2020-11-27
frauen- und kinderschutzhaus neubrandenburg,1,2020-11-27
frauenschutzhaus güstrow,1,2020-11-27
frauenhaus wismar,0,2020-11-27
awo frauenhaus schwerin,1,2020-11-27
frauenhaus ludwigslust,0,2020-11-27
schutzwohnung rügen,0,2020-11-27
autonomes frauenhaus rostock,0,2020-11-28
frauenschutzhaus stralsund,0,2020-11-28
frauenschutzhaus ribnitz-damgarten,0,2020-11-28
frauenhaus greifswald,0,2020-11-28
frauen- und kinderschutzhaus neubrandenburg,1,2020-11-28
frauenschutzhaus güstrow,1,2020-11-28
frauenhaus wismar,0,2020-11-28
awo frauenhaus schwerin,1,2020-11-28
frauenhaus ludwigslust,1,2020-11-28
schutzwohnung rügen,0,2020-11-28
