name,free-women,free-children,free-places,date
Frauen und Kinderhaus Offenbach,0,0,Keine freien Plätze,2020-11-04
Frauenhaus Rodgau,0,0,Keine freien Plätze,2020-11-04
Frauenhaus Hanau,0,0,Keine freien Plätze,2020-11-04
Frauenhaus Wächtersbach,0,0,Keine freien Plätze,2020-11-04
Frauenhaus Darmstadt,0,0,Keine freien Plätze,2020-11-04
Frauenhaus Groß-Gerau,0,0,Keine freien Plätze,2020-11-04
Frauenhaus Bergstraße,0,0,Keine freien Plätze,2020-11-04
Frauenhaus Erbach,0,0,Keine freien Plätze,2020-11-04
Frauenhaus Landkreis Darmstadt-Dieburg,0,0,Keine freien Plätze,2020-11-04
Haus für Frauen in Not  Wiesbaden,0,0,Keine freien Plätze,2020-11-04
AWO Frauenhaus Nurdan-Eker,0,0,Keine freien Plätze,2020-11-04
Haus für Frauen in Not Bad Schwalbach,0,0,Keine freien Plätze,2020-11-04
Frauenhaus Limburg,0,0,Keine freien Plätze,2020-11-04
Frauenhaus Hofheim,0,0,Keine freien Plätze,2020-11-04
Autonomes Frauenhaus Kassel e.V.,0,0,Keine freien Plätze,2020-11-05
Frauenhaus im Landkreis Kassel,0,0,Keine freien Plätze,2020-11-05
Frauenhaus Bad Wildungen,0,0,Keine freien Plätze,2020-11-05
AWO Frauenhaus Schwalm-Eder,0,0,Keine freien Plätze,2020-11-05
Frauenhaus Marburg,0,0,Keine freien Plätze,2020-11-05
Autonomes Frauenhaus Gießen,0,0,Keine freien Plätze,2020-11-05
Frauenhaus Gießen SkF,0,0,Keine freien Plätze,2020-11-05
Frauenhaus Wetzlar,0,0,Keine freien Plätze,2020-11-05
Frauenhaus Fulda,0,0,Keine freien Plätze,2020-11-05
Frauenhaus Bad Hersfeld,0,0,Keine freien Plätze,2020-11-05
Frauenhaus Eschwege,0,0,Keine freien Plätze,2020-11-05
Frauenhaus Frankfurter Verein I Haus für Frauen und Kinder,1,1,Freie Plätze für Frauen mit Kindern und ohne Kinder,2020-11-05
Autonomes Frauenhaus Frankfurt,0,0,Keine freien Plätze,2020-11-05
Frauenhaus Frankfurter Verein I die kanne,0,0,Keine freien Plätze,2020-11-05
Frauenhaus Wetterau,0,0,Keine freien Plätze,2020-11-05
Frauenhaus „Lotte Lemke“,0,0,Keine freien Plätze,2020-11-05
Frauenhaus Oberursel,0,0,Keine freien Plätze,2020-11-05
Frauen und Kinderhaus Offenbach,0,0,Keine freien Plätze,2020-11-05
Frauenhaus Rodgau,0,0,Keine freien Plätze,2020-11-05
Frauenhaus Hanau,0,0,Keine freien Plätze,2020-11-05
Frauenhaus Wächtersbach,0,0,Keine freien Plätze,2020-11-05
Frauenhaus Darmstadt,0,0,Keine freien Plätze,2020-11-05
